Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Avg MPG,Price_Category
Bmw,1 Series,2013,Premium Unleaded (Required),320.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,24.0,Mid-Range
Audi,100,1992,Regular Unleaded,172.0,6.0,Manual,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.5,Budget
Audi,100,1992,Regular Unleaded,172.0,6.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,18.0,Budget
Audi,100,1992,Regular Unleaded,172.0,6.0,Manual,All Wheel Drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.5,Budget
Audi,100,1993,Regular Unleaded,172.0,6.0,Manual,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.5,Budget
Audi,100,1993,Regular Unleaded,172.0,6.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,18.0,Budget
Audi,100,1993,Regular Unleaded,172.0,6.0,Manual,All Wheel Drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.5,Budget
Audi,100,1994,Regular Unleaded,172.0,6.0,Automatic,Front Wheel Drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.5,Budget
Audi,100,1994,Regular Unleaded,172.0,6.0,Manual,All Wheel Drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,19.0,Budget
Audi,100,1994,Regular Unleaded,172.0,6.0,Manual,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000,19.5,Budget
Audi,100,1994,Regular Unleaded,172.0,6.0,Automatic,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,19.0,Budget
Audi,100,1994,Regular Unleaded,172.0,6.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.5,Budget
Fiat,124 Spider,2017,Premium Unleaded (Recommended),160.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Convertible,35,26,819,27495,30.5,Budget
Fiat,124 Spider,2017,Premium Unleaded (Recommended),160.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Convertible,35,26,819,24995,30.5,Budget
Fiat,124 Spider,2017,Premium Unleaded (Recommended),160.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Convertible,35,26,819,28195,30.5,Budget
Mercedes-Benz,190-Class,1991,Regular Unleaded,130.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.0,Budget
Mercedes-Benz,190-Class,1991,Regular Unleaded,158.0,6.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.0,Budget
Mercedes-Benz,190-Class,1992,Regular Unleaded,158.0,6.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.0,Budget
Mercedes-Benz,190-Class,1992,Regular Unleaded,130.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.0,Budget
Mercedes-Benz,190-Class,1993,Regular Unleaded,130.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.0,Budget
Mercedes-Benz,190-Class,1993,Regular Unleaded,158.0,6.0,Manual,Rear Wheel Drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.0,Budget
Bmw,2 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850,29.0,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,Rear Wheel Drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650,28.5,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750,25.5,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850,29.0,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650,28.0,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150,25.5,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),240.0,4.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850,28.0,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,All Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150,25.0,Mid-Range
Bmw,2 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750,25.0,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),335.0,6.0,Automatic,All Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450,26.0,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),335.0,6.0,Automatic,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050,26.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),335.0,6.0,Automatic,All Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050,26.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),335.0,6.0,Automatic,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450,26.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950,28.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150,29.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,All Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150,28.5,Mid-Range
Bmw,2 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,All Wheel Drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950,28.0,Mid-Range
Audi,200,1990,Regular Unleaded,162.0,5.0,Automatic,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,18.0,Budget
Audi,200,1990,Regular Unleaded,162.0,5.0,Manual,All Wheel Drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000,18.5,Budget
Audi,200,1990,Regular Unleaded,162.0,5.0,Manual,All Wheel Drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000,19.0,Budget
Audi,200,1991,Regular Unleaded,217.0,5.0,Manual,All Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000,19.0,Budget
Audi,200,1991,Regular Unleaded,217.0,5.0,Manual,All Wheel Drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000,19.0,Budget
Audi,200,1991,Regular Unleaded,162.0,5.0,Automatic,Front Wheel Drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,18.0,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170,29.5,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950,29.5,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370,23.5,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,29.5,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625,29.5,Budget
Chrysler,200,2015,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825,23.5,Mid-Range
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,29.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,29.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785,23.5,Mid-Range
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905,23.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,29.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570,29.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,29.5,Budget
Chrysler,200,2016,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905,23.0,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785,23.0,Mid-Range
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),295.0,6.0,Automatic,All Wheel Drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900,23.0,Mid-Range
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,29.5,Budget
Chrysler,200,2017,Flex-Fuel (Unleaded/E85),184.0,4.0,Automatic,Front Wheel Drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,29.5,Budget
Nissan,200Sx,1996,Regular Unleaded,115.0,4.0,Manual,Front Wheel Drive,2.0,Unknown,Compact,Coupe,36,26,2009,2000,31.0,Budget
Nissan,200Sx,1996,Regular Unleaded,140.0,4.0,Manual,Front Wheel Drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,25.0,Budget
Nissan,200Sx,1997,Regular Unleaded,140.0,4.0,Manual,Front Wheel Drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,25.0,Budget
Nissan,200Sx,1997,Regular Unleaded,115.0,4.0,Manual,Front Wheel Drive,2.0,Unknown,Compact,Coupe,35,25,2009,2000,30.0,Budget
Nissan,200Sx,1998,Regular Unleaded,115.0,4.0,Manual,Front Wheel Drive,2.0,Unknown,Compact,Coupe,35,25,2009,2000,30.0,Budget
Nissan,200Sx,1998,Regular Unleaded,140.0,4.0,Manual,Front Wheel Drive,2.0,Performance,Compact,Coupe,28,20,2009,2073,24.0,Budget
Nissan,240Sx,1996,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,26,19,2009,3713,22.5,Budget
Nissan,240Sx,1996,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,26,19,2009,3520,22.5,Budget
Nissan,240Sx,1997,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,26,19,2009,3910,22.5,Budget
Nissan,240Sx,1997,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,26,19,2009,4182,22.5,Budget
Nissan,240Sx,1997,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,26,19,2009,4107,22.5,Budget
Nissan,240Sx,1998,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,25,20,2009,4299,22.5,Budget
Nissan,240Sx,1998,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,25,20,2009,4693,22.5,Budget
Nissan,240Sx,1998,Regular Unleaded,155.0,4.0,Manual,Rear Wheel Drive,2.0,Performance,Compact,Coupe,25,20,2009,4107,22.5,Budget
Volvo,240,1991,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,22.5,Budget
Volvo,240,1991,Regular Unleaded,114.0,4.0,Automatic,Rear Wheel Drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000,20.5,Budget
Volvo,240,1991,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.5,Budget
Volvo,240,1992,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.5,Budget
Volvo,240,1992,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,22.5,Budget
Volvo,240,1993,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.5,Budget
Volvo,240,1993,Regular Unleaded,114.0,4.0,Manual,Rear Wheel Drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000,21.5,Budget
Mazda,2,2012,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,16020,32.0,Budget
Mazda,2,2012,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,14530,32.0,Budget
Mazda,2,2012,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,16860,31.0,Budget
Mazda,2,2012,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,15370,31.0,Budget
Mazda,2,2013,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,17050,31.0,Budget
Mazda,2,2013,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,15560,31.0,Budget
Mazda,2,2013,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,16210,32.0,Budget
Mazda,2,2013,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,14720,32.0,Budget
Mazda,2,2014,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,17050,31.0,Budget
Mazda,2,2014,Regular Unleaded,100.0,4.0,Automatic,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,34,28,586,15560,31.0,Budget
Mazda,2,2014,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,16210,32.0,Budget
Mazda,2,2014,Regular Unleaded,100.0,4.0,Manual,Front Wheel Drive,4.0,Hatchback,Compact,4Dr Hatchback,35,29,586,14720,32.0,Budget
Bmw,3 Series Gran Turismo,2015,Premium Unleaded (Required),300.0,6.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury,Performance",Midsize,4Dr Hatchback,30,20,3916,47250,25.0,Mid-Range
Bmw,3 Series Gran Turismo,2015,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury",Midsize,4Dr Hatchback,33,22,3916,41850,27.5,Mid-Range
Bmw,3 Series Gran Turismo,2016,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury",Midsize,4Dr Hatchback,34,22,3916,43000,28.0,Mid-Range
Bmw,3 Series Gran Turismo,2016,Premium Unleaded (Required),300.0,6.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury,Performance",Midsize,4Dr Hatchback,30,20,3916,49200,25.0,Mid-Range
Bmw,3 Series Gran Turismo,2017,Premium Unleaded (Required),320.0,6.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury,Performance",Midsize,4Dr Hatchback,30,20,3916,49650,25.0,Mid-Range
Bmw,3 Series Gran Turismo,2017,Premium Unleaded (Required),248.0,4.0,Automatic,All Wheel Drive,4.0,"Hatchback,Luxury",Midsize,4Dr Hatchback,33,23,3916,43950,28.0,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),241.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950,27.5,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),335.0,6.0,Automatic,Rear Wheel Drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150,29.0,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),240.0,4.0,Automatic,Rear Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500,29.0,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),300.0,6.0,Automatic,Rear Wheel Drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750,26.5,Mid-Range
Bmw,3 Series,2015,Diesel,180.0,4.0,Automatic,Rear Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000,38.5,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500,27.5,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),180.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950,29.0,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),300.0,6.0,Automatic,All Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750,25.0,Mid-Range
Bmw,3 Series,2015,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450,37.0,Mid-Range
Bmw,3 Series,2015,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000,37.0,Mid-Range
Bmw,3 Series,2015,Premium Unleaded (Required),180.0,4.0,Automatic,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950,30.0,Mid-Range
Bmw,3 Series,2016,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850,35.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,All Wheel Drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800,27.5,Mid-Range
Bmw,3 Series,2016,Diesel,180.0,4.0,Automatic,Rear Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850,37.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,Rear Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,28.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350,28.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),240.0,4.0,Manual,Rear Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,28.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),240.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650,28.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),180.0,4.0,Automatic,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150,30.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),180.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150,29.0,Mid-Range
Bmw,3 Series,2016,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150,35.0,Mid-Range
Bmw,3 Series,2016,Premium Unleaded (Required),320.0,6.0,Automatic,Rear Wheel Drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800,27.5,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,Rear Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750,28.5,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),180.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450,28.5,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),180.0,4.0,Automatic,Rear Wheel Drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450,29.0,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750,28.0,Mid-Range
Bmw,3 Series,2017,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250,35.0,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),248.0,4.0,Automatic,All Wheel Drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950,28.0,Mid-Range
Bmw,3 Series,2017,Diesel,180.0,4.0,Automatic,Rear Wheel Drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250,37.0,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),320.0,6.0,Automatic,All Wheel Drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900,26.0,Mid-Range
Bmw,3 Series,2017,Premium Unleaded (Recommended),320.0,6.0,Automatic,Rear Wheel Drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900,26.5,Mid-Range
Bmw,3 Series,2017,Diesel,180.0,4.0,Automatic,All Wheel Drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450,35.0,Mid-Range
Mercedes-Benz,300-Class,1991,Regular Unleaded,177.0,6.0,Automatic,Rear Wheel Drive,4.0,Luxury,Large,Sedan,19,15,617,2232,17.0,Budget
Mercedes-Benz,300-Class,1991,Regular Unleaded,177.0,6.0,Automatic,Rear Wheel Drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000,17.5,Budget
